name,description_html,priority,state_group
"Wayfinder — Plateforme Pokémon polyvalente","<p>Type: map · Phase: Planning</p><p>Blueprint produit : hub Pokémon Gen 9 accessible à tous, avec sitemap, parcours, périmètre MVP et roadmap. Tous les espaces restent publics ; aucun toggle de profil.</p>",high,backlog
"Phase 0 — Fondations","<p>Type: phase · Phase: MVP</p><p>Remplacer le scaffolding conférence, stabiliser les tokens Hearty Cloud, construire le bento responsive, importer le snapshot Gen 9 et séparer données importées, règles calculées et données utilisateur.</p>",high,backlog
"Phase 1 — Explorer","<p>Type: phase · Phase: MVP</p><p>Recherche globale, index Pokémon/attaques/talents/objets/types, fiches overview-first, évolutions, statistiques, cache/API interne et liens croisés.</p>",high,backlog
"Phase 2 — Stratégie et Outils","<p>Type: phase · Phase: MVP</p><p>Team builder de six Pokémon, couverture offensive/défensive, faiblesses, rôles, sauvegarde locale et import/export Pokémon Showdown.</p>",high,backlog
"Phase 3 — Collection et Chasse","<p>Type: phase · Phase: MVP</p><p>États Vu/Obtenu/À obtenir, formes, shiny, objectifs personnels et sessions shiny avec compteur, méthode, durée, odds, notes et résultat.</p>",high,backlog
"Phase 4 — Jouer","<p>Type: phase · Phase: MVP</p><p>Pokédle-like et Pokédoku-like quotidiens, reset à minuit UTC, mode illimité, partage sans spoiler et statistiques locales personnelles.</p>",high,backlog
"Phase 5 — Partage et synchronisation","<p>Type: phase · Phase: Post-MVP</p><p>Instantanés publics explicites, liens partageables, révocation des partages, compte optionnel et synchronisation multi-appareils.</p>",medium,backlog
"Source de vérité des données Gen 9","<p>Type: decision · Label: wayfinder:research · Phase: MVP</p><p>Utiliser PokéAPI v2 comme source structurée d’import, via snapshot Gen 9 versionné, validation, diff, rollback, cache et attribution.</p>",high,backlog
"Architecture d’Explorer et recherche","<p>Type: decision · Label: wayfinder:decision · Phase: MVP</p><p>Séparer Pokémon, attaques, talents, objets, types, évolutions et statistiques. Recherche globale regroupée par entité, fiches spécialisées et sous-navigation sticky.</p>",high,backlog
"Stratégie et Outils — team builder généraliste","<p>Type: decision · Label: wayfinder:decision · Phase: MVP</p><p>Construire des équipes Gen 9 de six Pokémon, analyser couverture/faiblesses/rôles, sauvegarder localement et importer/exporter au format Showdown.</p>",high,backlog
"Collectionner et Chasser — progression et sessions","<p>Type: decision · Label: wayfinder:decision · Phase: MVP</p><p>Séparer progression Vu/Obtenu/À obtenir et sessions de chasse shiny-first avec cible, méthode, compteur, durée, odds, notes et résultat.</p>",high,backlog
"Boucle des mini-jeux","<p>Type: decision · Label: wayfinder:decision · Phase: MVP</p><p>Lancer deux puzzles quotidiens générés depuis Gen 9 : Pokédle-like et Pokédoku-like, même puzzle pour tous, reset UTC, mode illimité et scores personnels.</p>",high,backlog
"Compte, sauvegarde et partage","<p>Type: decision · Label: wayfinder:decision · Phase: Post-MVP</p><p>Accès sans compte, progression locale, export/import, compte optionnel plus tard et partage explicite par instantané public sans exposition de l’historique privé.</p>",medium,backlog
"Responsive et accessibilité du bento","<p>Type: decision · Label: wayfinder:prototype · Phase: MVP</p><p>Conserver une grille mobile asymétrique en deux colonnes inspirée de The Matter of Design, avec Explorer dominant, blocs empilés/pleine largeur/en paire et accès clavier.</p>",high,backlog
